Row ID,Order ID,Order Date,Segment,Product ID,Category,Sub-Category,Product Name,Purchase
3216,CA-2018-150189,12-12-2018,Consumer,OFF-LA-10002762,Office Supplies,Labels,Avery 485,71.421
5589,CA-2015-168158,19-12-2018,Home Office,OFF-BI-10001759,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue",5.7912
5488,CA-2018-134495,12-12-2018,Corporate,TEC-PH-10004897,Technology,Phones,Mediabridge Sport Armband iPhone 5s,22.7772
4925,CA-2018-114055,25-12-2018,Home Office,TEC-PH-10002890,Technology,Phones,AT&T 17929 Lendline Telephone,85.956
8614,CA-2017-138233,12-12-2018,Consumer,TEC-AC-10002001,Technology,Accessories,Logitech Wireless Gaming Headset G930,455.9715
2553,CA-2018-101042,19-12-2018,Consumer,OFF-BI-10000088,Office Supplies,Binders,GBC Imprintable Covers,20.862
8557,CA-2016-117884,22-12-2018,Consumer,OFF-ST-10002182,Office Supplies,Storage,"Iris 3-Drawer Stacking Bin, Black",142.8876
1585,CA-2016-131338,12-12-2018,Consumer,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,5.852
5786,CA-2018-141117,12-12-2018,Consumer,OFF-SU-10004664,Office Supplies,Supplies,Acme Softgrip Scissors,37.1184
8372,CA-2015-165393,27-12-2018,Consumer,OFF-BI-10001658,Office Supplies,Binders,GBC Standard Therm-A-Bind Covers,4.7348
1135,US-2017-134908,12-12-2018,Home Office,OFF-LA-10000973,Office Supplies,Labels,Avery 502,7.182
1878,CA-2018-118885,29-12-2018,Consumer,FUR-CH-10002880,Furniture,Chairs,"Global High-Back Leather Tilter, Burgundy",373.8896
2792,CA-2015-125514,21-12-2018,Corporate,OFF-AP-10003281,Office Supplies,Appliances,Acco 6 Outlet Guardian Standard Surge Suppressor,34.4565
646,CA-2018-126221,30-12-2018,Home Office,OFF-AP-10002457,Office Supplies,Appliances,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",198.835
3355,US-2015-150434,19-12-2018,Corporate,FUR-TA-10004152,Furniture,Tables,"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",67.032
6692,US-2018-165869,31-12-2018,Corporate,OFF-AP-10002472,Office Supplies,Appliances,3M Office Air Cleaner,148.086
221,CA-2016-169397,24-12-2018,Consumer,OFF-PA-10004000,Office Supplies,Paper,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",21.5688
5461,US-2015-107405,21-12-2018,Corporate,OFF-ST-10002301,Office Supplies,Storage,Tennsco Commercial Shelving,15.4584
6126,CA-2018-145772,12-12-2018,Corporate,OFF-PA-10001593,Office Supplies,Paper,Xerox 1947,11.362
8373,CA-2017-113726,24-12-2018,Home Office,FUR-FU-10003535,Furniture,Furnishings,Howard Miller Distant Time Traveler Alarm Clock,78.147
9405,CA-2018-141663,13-12-2018,Corporate,OFF-FA-10004076,Office Supplies,Fasteners,Translucent Push Pins by OIC,7.524
8602,CA-2015-141110,26-12-2018,Corporate,OFF-BI-10001553,Office Supplies,Binders,SpineVue Locking Slant-D Ring Binders by Cardinal,6.9464
5990,CA-2017-163776,19-12-2018,Consumer,FUR-BO-10003546,Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,479.655
2140,CA-2015-159520,12-12-2018,Corporate,OFF-BI-10003982,Office Supplies,Binders,Wilson Jones Century Plastic Molded Ring Binders,142.0668
311,CA-2017-142902,12-12-2018,Corporate,FUR-CH-10004086,Furniture,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,443.4296
7152,CA-2018-142909,22-12-2018,Consumer,FUR-TA-10003008,Furniture,Tables,"Lesro Round Back Collection Coffee Table, End Table",173.4225
8240,CA-2018-103065,20-12-2018,Consumer,OFF-AR-10003251,Office Supplies,Art,Prang Drawing Pencil Set,4.2256
3451,CA-2015-168592,12-12-2018,Home Office,OFF-ST-10002406,Office Supplies,Storage,Pizazz Global Quick File,14.2215
273,CA-2016-155334,30-12-2018,Consumer,FUR-FU-10003274,Furniture,Furnishings,Regeneration Desk Collection,5.016
4249,CA-2017-157336,12-12-2018,Consumer,OFF-BI-10004236,Office Supplies,Binders,"XtraLife ClearVue Slant-D Ring Binder, White, 3""",83.676
5599,CA-2018-151176,13-12-2018,Consumer,OFF-AR-10000614,Office Supplies,Art,Barrel Sharpener,10.1745
1829,US-2016-140851,13-12-2018,Corporate,OFF-PA-10000019,Office Supplies,Paper,Xerox 1931,36.936
9218,US-2018-118157,14-12-2018,Home Office,OFF-EN-10004459,Office Supplies,Envelopes,Security-Tint Envelopes,14.516
9752,CA-2017-113390,12-12-2018,Consumer,OFF-AR-10001446,Office Supplies,Art,Newell 309,26.334
2119,CA-2018-155460,13-12-2018,Corporate,OFF-PA-10002479,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),5.016
9221,CA-2018-103212,13-12-2018,Consumer,OFF-LA-10000248,Office Supplies,Labels,Avery 52,10.5165
7860,CA-2015-103429,30-12-2018,Corporate,OFF-PA-10001712,Office Supplies,Paper,Xerox 1948,37.962
1383,US-2017-108504,12-12-2018,Home Office,OFF-ST-10002344,Office Supplies,Storage,"Carina 42""Hx23 3/4""W Media Storage Unit",76.931
4202,CA-2016-143105,12-12-2018,Home Office,OFF-PA-10002713,Office Supplies,Paper,"Adams Phone Message Book, 200 Message Capacity, 8 1/16ï¿½ï¿½ï¿½ï¿",39.216
1592,US-2017-132423,15-12-2018,Corporate,OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps,7.638
6684,CA-2015-109134,12-12-2018,Home Office,FUR-FU-10000320,Furniture,Furnishings,OIC Stacking Trays,19.038
8609,CA-2015-151946,12-12-2018,Consumer,OFF-AP-10001626,Office Supplies,Appliances,"Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags",14.782
